"","ctx-lh-bankssts","ctx-lh-caudalanteriorcingulate","ctx-lh-caudalmiddlefrontal","ctx-lh-cuneus","ctx-lh-entorhinal","ctx-lh-fusiform","ctx-lh-inferiorparietal","ctx-lh-inferiortemporal","ctx-lh-isthmuscingulate","ctx-lh-lateraloccipital","ctx-lh-lateralorbitofrontal","ctx-lh-lingual","ctx-lh-medialorbitofrontal","ctx-lh-middletemporal","ctx-lh-parahippocampal","ctx-lh-paracentral","ctx-lh-parsopercularis","ctx-lh-parsorbitalis","ctx-lh-parstriangularis","ctx-lh-pericalcarine","ctx-lh-postcentral","ctx-lh-posteriorcingulate","ctx-lh-precentral","ctx-lh-precuneus","ctx-lh-rostralanteriorcingulate","ctx-lh-rostralmiddlefrontal","ctx-lh-superiorfrontal","ctx-lh-superiorparietal","ctx-lh-superiortemporal","ctx-lh-supramarginal","ctx-lh-frontalpole","ctx-lh-temporalpole","ctx-lh-transversetemporal","ctx-lh-insula"
"ctx-lh-lateralorbitofrontal",92.312554342522,47.4658405356058,64.1212819680431,112.229122825104,16.3329663278541,32.6746313932894,114.963083096158,46.8360552682872,86.3129689689432,130.826538668471,0,83.5379466978752,0.190192297770856,47.775171261503,52.2560708416403,108.446761638429,8.50312099009872,0.216596508754279,0.158721894868126,111.770116547563,37.812795430155,81.1764659154964,25.2840699821139,101.520497846454,12.5489683339275,0.346529460114555,26.2222309720131,127.805428099245,16.3006549861363,57.3134056786285,0.873836759746755,16.7992590583161,45.0986170509942,0.197705939358877
"ctx-lh-lingual",78.3629720107554,77.6072952530258,134.787536083656,10.7424658024553,30.49895245519,0.0777695608309822,59.9843253729779,31.9934952279541,0.36480562261314,0.188796201485751,83.5379466978752,0,80.373122433316,59.1679502596054,0.29377264463245,62.7446034188992,111.513967697824,109.810945646147,109.572813053337,0.389065796073152,84.4834347418373,42.9962453167468,91.4332182400656,0.148967847575712,106.828496194611,132.149519828485,73.1353671725522,37.9251344288408,72.7444643446889,109.062955856094,144.436951476467,57.7783687084686,108.579791538032,66.7663703866056
"ctx-lh-medialorbitofrontal",90.7412339480036,25.7080548638923,90.9093598051699,109.064298560545,13.1681420632948,29.8742012700406,113.703482023044,44.0356251450383,83.148144704384,127.752538151144,0.190192297770856,80.373122433316,0,45.5970721424546,49.091246577081,86.8159765407253,46.3098964986062,31.2215545471194,38.6962673709008,108.605292283004,52.0517551685767,61.688333511819,46.7934304989284,98.3556735818946,0.13993282734785,8.03573244253907,0.242862824797084,139.200566558626,14.3041156553441,65.2950079242893,0.378314946837853,14.1849149648308,44.0798154320207,0.79364746030945
"ctx-lh-middletemporal",0.133588734783709,108.606072409343,126.400430322092,84.6598758443476,29.0917534332863,12.8732913619713,0.133206562748501,0.0598634415151064,82.1890008821348,0.207648870943964,47.775171261503,59.1679502596054,45.5970721424546,0,43.391479572111,138.202101409642,68.9162316907292,71.2543373251402,69.4571816387398,80.7455093514991,59.574234901514,121.180541009872,69.3681583885054,97.3682356909154,72.0165601542046,95.0296519229372,107.090650498239,62.2445601940109,0.0677645455700464,28.3292773505215,107.973906310082,0.827119838536932,26.7100026383183,31.4836635236382
"ctx-lh-parahippocampal",84.2482662779445,73.7287218350513,130.908962665682,26.2813478531746,0.733351185495636,0.141465952107032,89.9473163637888,7.57812375670561,0.547491079726823,46.2577741487532,52.2560708416403,0.29377264463245,49.091246577081,43.391479572111,0,58.8660300009247,80.2320918415892,78.5290697899118,78.290937197102,25.0728300750105,80.6048613238628,39.1176718987723,80.7132604464934,14.7442322909476,75.5466203383758,100.86764397225,69.2567937545777,65.0215142760081,41.4689948867484,99.1085778167711,113.155075620232,26.3393157507251,77.297915681797,35.4844945303706
"ctx-lh-paracentral",120.975504178256,19.7276576839228,34.6468688631812,60.2702976016289,93.3371235766323,85.7987568177779,73.1180191856006,105.973039055939,15.2899916917187,102.105049170847,108.446761638429,62.7446034188992,86.8159765407253,138.202101409642,58.8660300009247,0,87.0552935714432,145.399944558224,119.129383756585,60.4084244136147,0.540851234369702,0.115357827776771,0.594773293445993,0.240298308526277,60.2057710262241,68.0358033506903,0.127904170299816,4.41214186718063,112.726580329102,48.6748440157336,107.901668081208,121.312302759601,125.897686383508,121.246448264475
"ctx-lh-parsopercularis",89.6267637469745,101.31831195187,0.344978356511926,140.205143825053,44.8569996161961,57.7997455126012,100.234604430919,71.9611693875989,114.288989968892,127.679675067332,8.50312099009872,111.513967697824,46.3098964986062,68.9162316907292,80.2320918415893,87.0552935714432,0,30.3117149385153,0.178119171536427,139.746137547512,13.5604352452832,102.70484913631,0.291122614815707,113.225750761994,70.4086820049812,0.214093300571622,40.0468825740611,95.9595615192205,33.3737921413996,31.2520968404105,83.9714149850266,40.2085830141987,36.2586765010257,0.211740406802611
"ctx-lh-parsorbitalis",114.380923370325,88.3477320974087,65.6943936392467,138.502121773376,42.6059652761256,58.1415379347717,136.402474505287,72.3029618097695,112.585967917215,156.293445209953,0.216596508754279,109.810945646147,31.2215545471195,71.2543373251402,78.5290697899118,145.399944558224,30.3117149385153,0,0.553078122909917,138.043115495835,63.9050360973535,122.058357477299,51.3763106493124,127.793496794725,53.0626291290988,0.246578554447561,39.3620440881269,153.897668766444,39.2842448320915,83.414824272665,27.2488690197183,41.398472028842,66.5380084601239,19.1900101417122
"ctx-lh-parstriangularis",103.000224151002,96.4803619318782,34.7522959570505,138.263989180566,42.8003656011849,56.440945706985,116.517392893915,70.6023695819828,112.347835324405,143.962463530328,0.158721894868126,109.572813053337,38.6962673709008,69.4571816387398,78.290937197102,119.129383756585,0.178119171536427,0.553078122909917,0,137.804982903025,29.8432237082797,127.104046747186,17.243777958775,127.555364201916,61.1952589635683,0.0908481596520017,43.9134994819816,119.83585637737,37.3430760399669,49.3982515508254,50.225176102192,39.6978798010553,51.7469133141921,0.164946851634281
"ctx-lh-pericalcarine",95.4685704713113,79.0788341014772,134.452530825469,0.476501382765696,60.054372925363,41.6523311644535,49.0336074776112,62.7280617865574,9.75723335422445,0.325916555579122,111.770116547563,0.389065796073152,108.605292283004,80.7455093514991,25.0728300750105,60.4084244136147,139.746137547512,138.043115495835,137.804982903025,0,81.4750642423949,42.6567030391903,89.0914544993262,0.229523415411243,113.144851956569,158.811415058029,72.8003619143647,21.2217394730484,100.983040592671,105.294495111802,164.9629593929,88.0295521083321,136.81196138772,94.9985402362935
