"","ctx-rh-bankssts","ctx-rh-caudalanteriorcingulate","ctx-rh-caudalmiddlefrontal","ctx-rh-cuneus","ctx-rh-entorhinal","ctx-rh-fusiform","ctx-rh-inferiorparietal","ctx-rh-inferiortemporal","ctx-rh-isthmuscingulate","ctx-rh-lateraloccipital","ctx-rh-lateralorbitofrontal","ctx-rh-lingual","ctx-rh-medialorbitofrontal","ctx-rh-middletemporal","ctx-rh-parahippocampal","ctx-rh-paracentral","ctx-rh-parsopercularis","ctx-rh-parsorbitalis","ctx-rh-parstriangularis","ctx-rh-pericalcarine","ctx-rh-postcentral","ctx-rh-posteriorcingulate","ctx-rh-precentral","ctx-rh-precuneus","ctx-rh-rostralanteriorcingulate","ctx-rh-rostralmiddlefrontal","ctx-rh-superiorfrontal","ctx-rh-superiorparietal","ctx-rh-superiortemporal","ctx-rh-supramarginal","ctx-rh-frontalpole","ctx-rh-temporalpole","ctx-rh-transversetemporal","ctx-rh-insula"
"ctx-rh-lateralorbitofrontal",86.9560058614928,47.1975062327679,70.0903741892158,101.954116141295,12.2875171506665,25.1197636186502,100.829136564958,26.5527850316893,72.0394235207732,114.104468127125,0,71.457089575446,0.243935424556247,38.0272609363562,42.8601749864748,107.181291276364,3.22303027313248,0.252730905913965,0.256095344119583,101.058134255618,33.825234074081,81.924800118942,21.6516102143147,87.830837434294,14.8018058934917,0.250685598811861,24.5020300117895,126.291554018925,11.029552060779,49.9641909424989,0.460553571296894,8.87794791325506,41.3213594834884,0.144483876917037
"ctx-rh-lingual",87.6415522678424,75.1886532446293,134.334731777199,8.35131868107231,28.2565644697803,0.156514258490627,51.4919953276499,30.8860114831188,0.258427787380823,0.116744185762661,71.4570895754461,0,86.8712474783918,55.4577237548851,0.401043993590031,61.6443919872847,107.980822055768,100.156292281863,104.196611144932,0.442672476182198,88.8204647445803,42.1959831264742,95.7605325116985,0.312490085245976,103.876813628077,129.072681236979,74.1434488276196,33.6950341800283,67.7776683417735,121.925883874517,138.82341906589,56.544882042128,104.795266580667,61.4971679375646
"ctx-rh-medialorbitofrontal",102.503252847382,27.4243432630071,79.4603611230513,117.368274044241,27.7016750536122,40.4519968522916,116.376383550847,41.8850182653306,87.4535814237189,129.436701360766,0.243935424556247,86.8712474783918,0,52.6953777102574,58.2743328894205,86.3912540976218,55.7013717800472,27.2023551478626,46.732587807425,116.472292158564,60.8996493786251,62.5791483159913,60.1832011658758,103.24499533724,0.272300122664834,13.1680022347201,0.149214726932884,138.76454734415,25.691479402385,72.3236032697632,0.267844489865031,24.0577883679955,56.8686064693776,12.9335159049913
"ctx-rh-middletemporal",0.341456336895355,102.035256667145,132.252361816226,86.8554391310916,20.2977933991705,15.8677231103928,0.323870048903013,0.0500931158103034,77.7920367976,0.293176911568035,38.0272609363562,55.457723754885,52.6953777102574,0,42.372355685227,131.866037849907,68.2507757972719,63.9083056783064,65.7462420604134,76.3848380070755,66.7413906136332,118.392722939639,68.8635700680616,93.5834507111208,69.6139158460372,93.6903406521656,102.56121210125,59.3541394455565,0.167556865341197,30.3415687924734,103.441078481077,0.497051423235946,30.809528470099,26.9799607552239
"ctx-rh-parahippocampal",93.5940144876388,74.039972435597,133.732993847158,27.7984949528677,0.835035472903855,0.0931630309944332,81.3626392296723,9.25126437482397,0.126826931169601,42.0660106619115,42.8601749864748,0.401043993590031,58.2743328894205,42.372355685227,0,61.5618843658347,79.3839074667963,71.5593776928917,75.5996965559609,26.3569779191086,81.9959165849284,41.0473023174419,81.7427862706343,13.5033025527715,75.2798990391058,100.475766648007,73.5417108975786,61.9072997946537,39.1807537528022,93.3289692855455,110.226504476918,27.322582787822,76.1983519916962,32.9002533485933
"ctx-rh-paracentral",111.868709439547,17.3580819095761,37.745354543695,66.2639406967389,91.1016487536042,89.8530418164031,68.9973619483162,106.927688011617,15.446523247814,103.697434312216,107.181291276364,61.6443919872846,86.3912540976219,131.866037849907,61.5618843658347,0,85.5128408450056,144.519014562141,111.819610397826,66.4074982726755,0.581066523893447,0.217314570155054,0.423201800947372,0.236356361852531,57.9375607971618,67.4644219452457,0.340674910847162,3.14432739693381,105.743071678902,53.4847307889684,109.722224930437,118.242484177887,120.235146581551,119.695295831808
"ctx-rh-parsopercularis",87.836075529754,93.8200144932938,0.236095518370203,138.477848621617,49.7513315150089,60.7492430930557,96.1953254285223,62.1607097173564,108.563156001095,149.751576516722,3.22303027313248,107.980822055768,55.7013717800472,68.2507757972719,79.3839074667963,85.5128408450056,0,17.5776750175067,0.250310408813787,137.58186673594,13.3159826594728,101.256962269163,0.17316361318845,112.823010404071,72.4471978389497,0.274428947885676,45.263741975281,93.4909972496099,34.924767403415,29.5058892147004,85.3130433046309,43.368823452536,38.1765752609573,0.105600417255932
"ctx-rh-parsorbitalis",109.360953930866,84.5352295185456,69.5369954471658,130.653318847712,41.3621648770772,53.1474533523845,123.234084634331,54.5589199766852,100.73862622719,142.141449691998,0.252730905913965,100.156292281863,27.2023551478626,63.9083056783064,71.5593776928917,144.519014562141,17.5776750175067,0,0.262790970884931,129.757336962035,44.9507190846168,119.26252340472,33.0489314361067,116.530040140711,52.1138886974383,0.354068086250116,35.1204652902339,138.062193344329,34.0855998242725,61.0527704000542,16.2881204161068,36.0805216944194,62.8182878219996,6.31008855891127
"ctx-rh-parstriangularis",103.930303229455,94.233591744623,28.0862495954029,134.693637710781,45.9502581780682,56.9650321822203,112.289553128223,58.376498806521,104.778945090259,145.967365605886,0.256095344119583,104.196611144932,46.732587807425,65.7462420604133,75.5996965559609,111.819610397826,0.250310408813787,0.262790970884931,0,133.797655825104,29.28226706194,113.913331577543,15.9617146568031,120.57035900378,63.4706655334038,0.131702860663036,43.3815270354785,112.858367108954,35.9235362063794,45.6137721853088,48.8843443840478,39.8876888202761,54.2680830363552,0.258802070254215
"ctx-rh-pericalcarine",115.431886626521,80.8998798113097,139.223038795451,0.335756281385618,59.0050912980174,34.3619180833258,44.7024134935124,62.3198124780108,11.3603430129117,0.253606288138947,101.058134255618,0.442672476182198,116.472292158564,76.3848380070755,26.3569779191086,66.4074982726755,137.58186673594,129.757336962035,133.797655825104,0,93.5676728820474,47.8575964495331,100.507740649166,0.21642600275595,115.323198766216,150.053557746549,79.0317558458712,21.5417220699695,97.3787130219456,117.531413423244,168.424463746062,86.1459267223001,134.39631126084,91.0982126177367
"ctx-rh-postcentral",51.6785399408066,56.9795122310738,38.1768043924206,86.2963388035092,52.366077173042,63.0366788844027,32.557089917476,64.3658896372922,43.1174596082663,100.867517042985,33.825234074081,88.8204647445803,60.8996493786251,66.7413906136332,81.9959165849284,0.581066523893447,13.3159826594728,44.9507190846168,29.28226706194,93.5676728820474,0,32.6453211347217,0.0988627281381389,0.592343220086986,77.7249946982073,47.6121864743394,22.3564997880271,0.224452113546019,20.0143108031937,0.187036518868368,107.380031843383,45.1963922228902,12.7404925956819,0.29741080820796
"ctx-rh-posteriorcingulate",142.983387696908,0.0996131917699536,55.1096709340429,47.7795458536564,70.5870667052114,69.3384597680103,91.704745663676,86.4131059632241,0.25293980422244,95.9477361933211,81.924800118942,42.1959831264742,62.5791483159913,118.392722939639,41.0473023174419,0.217314570155054,101.256962269163,119.26252340472,113.913331577543,47.8575964495331,32.6453211347217,0,28.4346850522242,0.332167390355519,33.0591997742238,57.9858702655541,0.182330109901915,33.53096606465,108.96068842914,85.2751882485451,90.0525344427176,97.727902129494,140.859137092997,96.9322811137534
"ctx-rh-precentral",76.8940725200231,40.6280456474398,0.0661758270576405,98.8791046161663,52.1102103188469,62.8237681473691,74.133130214868,64.1529789002586,49.8990604279051,115.763900228855,21.6516102143147,95.7605325116985,60.1832011658759,68.8635700680616,81.7427862706343,0.423201800947372,0.17316361318845,33.0489314361067,15.9617146568031,100.507740649166,0.0988627281381389,28.4346850522242,0,12.802453475545,76.43944593673,6.5103022284909,0.111957843530389,14.7222845397435,30.0263213274315,16.5027978274401,104.646464258172,44.9834814858566,27.3991883130088,0.207336435122645
